drug_name;generic_name;category;sub_category;typical_posology
Ator;Atorvastatine;Cardiovasculaire;Statine;10mg       
Tavastor;Atorvastatine;Cardiovasculaire;Statine;10mg
Statinor;Atorvastatine;Cardiovasculaire;Statine ;10mg 
Rosuvastatine;Rosuvastatine;Cardiovasculaire;Statine;10mg
Hypoten;Atenolol;Cardiovasculaire;beta-bloquant;100mg 
Nebilet ;Nebivolol;Cardiovasculaire;beta-bloquant;5mg
Carvidol;Carvedilol;Cardiovasculaire;beta-bloquant;25mg 
Cebutol;Acebutolol;Cardiovasculaire;beta-bloquant;400mg 
Sectral;Acebutolol;Cardiovasculaire;beta-bloquant;200mg 
Evocor 5;Bisoprolol;Cardiovasculaire;beta-bloquant ;5mg 
Evocor 2.5;Bisoprolol;Cardiovasculaire;beta-bloquant;5mg
Keval;betaxolol;Cardiovasculaire;beta-bloquant;20mg 
Atenor;Atenolol;Cardiovasculaire;beta-bloquant;100mg 
Cebutral;Acebutolol;Cardiovasculaire;beta-bloquant;400mg 
Kerlone;Betaxolol;Cardiovasculaire;beta-bloquant;20mg
Tensiol;Acebutolol;Cardiovasculaire;beta-bloquant;200mg 
Bonacor;Bisoprolol;Cardiovasculaire;beta-bloquant;2,5mg 
Normocardil;Propranolol;Cardiovasculaire;beta-bloquant;40mg 
Tenordate;Atenolol;Cardiovasculaire;beta-bloquant;1 gelule par jour 
Ketaxol;Betaxolol;Cardiovasculaire;beta-bloquant;20mg 
Karvex;Carvedilol;Cardiovasculaire;beta-bloquant;25mg 
Simvastatine zentiva;Simvastatine;Cardiovasculaire;Statine;20mg
Pravastatine;Pravastatine;Cardiovasculaire;Statine;10-40 mg once daily
Fluvastatine;Fluvastatine;Cardiovasculaire;Statine;20-80 mg once daily
Ramipril;Ramipril;Cardiovasculaire;IEC;2.5-10 mg once daily
Rapril;Ramipril;Cardiovasculaire;IEC;10mg 
Angiotec;Enalapril;Cardiovasculaire;IEC;20mg
Tensopril;Captopril;Cardiovasculaire;IEC;25mg 
Clorotiazide;Tiazide;Cardiovasculaire;Diurétique;500mg 
Plagrel;Clopidogrel;Cardiovasculaire;Antiagrégant ;75mg
Hytacand;Tiazide ;Cardiovasculaire;Diurétique;
Fludex ;Indapamide;Cardiovasculaire;Diurétique ;1,5mg
Burinex;bumétanide ;Cardiovasculaire;Diurétique;2mg
Lasicare ;Furosemide;Cardiovasculaire;Diurétique;40mg
Aldactone;Spironolactone;Cardiovasculaire;Diurétique;50mg
Lasilix;Furosemide;Cardiovasculaire;Diurétique;40mg
Aprofort;Irbesartan;Cardiovasculaire;ARA2;5mg 
Irbesar;Irbesartan;Cardiovasculaire;ARA2;150mg 
Aprovasc ;Irbesartan;Cardiovasculaire;ARA2;150mg
Aradeux Plus 150/5;Irbesartan;Cardiovasculaire;ARA2;150mg 
Aralead;Candesartan;Cardiovasculaire;ARA2;16mg
Aprozar;Irbesartan;Cardiovasculaire;ARA2;150mg 
Medzar;Losartan;Cardiovasculaire;ARA2;50 mg 
Cordarone;Amiodarone;Cardiovasculaire;Antiaythmique;150mg 
Digoxine Nativelle ;Digoxine;Cardiovasculaire;Digitalique;0,250mg
Flecaine ;Flecanide ;Cardiovasculaire;Antiarythmique ;100mg 
Sotalol Mylan ;Sotalol ;Cardiovasculaire;Antiarythmique ;160mg 
Lercan ;Lercandipine;Cardiovasculaire;Inhibiteur calcique;20mg 
Loxen ;Nicardipine;Cardiovasculaire;Inhibiteur calcique;20mg 
Mono-Tilidiem;Dilitiazem;Cardiovasculaire;Inhibiteur calcique;200mg 
Isoptine LP;Verapamil;Cardiovasculaire;Inhibiteur calcique;240mg 
Amlodis;Amlodipine;Cardiovasculaire;Inhibiteur calcique;10mg 
Zanidip;Lercandipine;Cardiovasculaire;Inhibiteur calcique;10mg 
Bi-Tilidem;Dilitiazem;Cardiovasculaire;Inhibiteur calcique;90mg 
Amlor ;Amlodipine;Cardiovasculaire;Inhibiteur calcique;5mg 
Aspirine;Acide acétylsalicylique;Antithrombotique;Antiagrégant;75-300 mg once daily
Clopidogrel;Clopidogrel;Antithrombotique;Antiagrégant;75 mg once daily (loading 300 mg)
Ticagrélor;Ticagrélor;Antithrombotique;Antiagrégant;90 mg twice daily (loading 180 mg)
Gripex;ACIDE ASCORBIQUE;ANTI-INFECTIEUX;Anti-Infectieux;
Doliprane;Paracétamol;Antalgique;Antalgique;1000mg 
Maxilase;Alpha-Amylase;Anti-Inflammatoire;Antu-Inflammatoire ;3000U
Prasugrel;Prasugrel;Antithrombotique;Antiagrégant;10 mg once daily (loading 60 mg)
Warfarine;Warfarine;Antithrombotique;AVK;Dose individualisée (INR)
Acénocoumarol;Acénocoumarol;Antithrombotique;AVK;Dose individualisée (INR)
Apixaban;Apixaban;Antithrombotique;AOD;5 mg twice daily (2.5 mg bid in dose reduction)
Rivaroxaban;Rivaroxaban;Antithrombotique;AOD;20 mg once daily with evening meal
Dabigatran;Dabigatran;Antithrombotique;AOD;150 mg twice daily
Edoxaban;Edoxaban;Antithrombotique;AOD;60 mg once daily
Metformine;Metformine;Antidiabétique;Biguanide;500-2000 mg/day in divided doses
Gliclazide;Gliclazide;Antidiabétique;Sulfamide;40-320 mg once daily (depending on formulation)
Glibenclamide;Glibenclamide;Antidiabétique;Sulfamide;2.5-10 mg once or twice daily
Repaglinide;Repaglinide;Antidiabétique;Glinide;0.5-4 mg before meals
Nateglinide;Nateglinide;Antidiabétique;Glinide;60-120 mg before meals
Sitagliptine;Sitagliptine;Antidiabétique;DPP-4 inhibitor;100 mg once daily
Saxagliptine;Saxagliptine;Antidiabétique;DPP-4 inhibitor;2.5-5 mg once daily
Vildagliptine;Vildagliptine;Antidiabétique;DPP-4 inhibitor;50 mg twice daily
Exénatide;Exénatide;Antidiabétique;GLP-1 analog;5-10 μg twice daily or weekly formulations
Liraglutide;Liraglutide;Antidiabétique;GLP-1 analog;0.6-1.8 mg subcut once daily
Insuline glargine;Insuline glargine;Antidiabétique;Insuline basale;Once daily, dose individualized
Insuline asparte;Insuline asparte;Antidiabétique;Insuline rapide;Inject before meals, dose individualized
Insuline lispro;Insuline lispro;Antidiabétique;Insuline rapide;Inject before meals, dose individualized
Insuline détémir;Insuline détémir;Antidiabétique;Insuline basale;Once or twice daily, individualized
Acarbose;Acarbose;Antidiabétique;α-glucosidase inhibitor;50-100 mg with meals
Paracétamol;Paracétamol;Analgesique;Antalgique;500-1000 mg every 4-6 hours (max 3 g/day typical)
Ibuprofène;Ibuprofène;AINS;Anti-inflammatoire;200-400 mg every 4-6 hours (max 1200 mg OTC)
Naproxène;Naproxène;AINS;Anti-inflammatoire;250-500 mg twice daily
Kétoprofène;Kétoprofène;AINS;Anti-inflammatoire;50-200 mg/day divided
Tramadol;Tramadol;Analgesique;Opioïde faible;50-100 mg every 4-6 hours (max 400 mg/day)
Morphine;Morphine;Analgesique;Opioïde fort;Individualized
Amoxicilline;Amoxicilline;Antibiotique;Pénicilline;500 mg three times daily or 1 g twice daily
Amoxicilline/clavulanate;Amoxicilline/clavulanate;Antibiotique;Pénicilline + inhibiteur;500/125 mg three times daily or 875/125 mg twice daily
Céfuroxime axétil;Céfuroxime;Antibiotique;Céphalosporine;250-500 mg twice daily
Ceftriaxone;Ceftriaxone;Antibiotique;Céphalosporine 3ème gen;1-2 g IV once daily
Ciprofloxacine;Ciprofloxacine;Antibiotique;Fluoroquinolone;500-750 mg twice daily
Levofloxacine;Levofloxacine;Antibiotique;Fluoroquinolone;500-750 mg once daily
Doxycycline;Doxycycline;Antibiotique;Tétracycline;100 mg once or twice daily
Azithromycine;Azithromycine;Antibiotique;Macrolide;500 mg day 1 then 250 mg daily
Oméprazole;Oméprazole;Gastro-intestinal;IPP;20-40 mg once daily
Pantoprazole;Pantoprazole;Gastro-intestinal;IPP;20-40 mg once daily
Ranitidine;Ranitidine;Gastro-intestinal;Anti-H2;Usual doses historically 150 mg twice daily
Salbutamol;Salbutamol;Respiratoire;Bronchodilatateur β2;1-2 puffs (100 μg) every 4-6 hours PRN
Formotérol;Formotérol;Respiratoire;LABA;12 μg twice daily (in inhaler)
